vendor,bag_name,notes,details,size,price
Passenger,Daterra,"Red Berry, Date, Cocoa Powder","['Bourbon', 'B Corp', 'Natural', 'South America', 'Brazil']",10 oz,$18.00
KLLR,KLLR Espresso Blend,"Chocolate, Floral, Spice",['Washed'],12 oz,$20.00
Yes Plz,The Mix,"Chocolate, Nutty, Great Body",['Central America'],12 oz,$22.00
Sightglass,Blueboon,"Milk Chocolate, Mandarin Orange, Honeysuckle","['Direct Trade, Certified Organic', 'Washed', 'Central America']",12 oz,$20.50
Color,Eclipse (Our Dark Roast),"Dark Chocolate, Caramel","['Direct Trade', 'Washed', 'South America']",N/A,N/A
Gimme,Brazil Cerrado Highlands  Fairtrade Dark Roast,"Cocoa Nib, Molasses, Orange Rind","['Catuai', 'Fair Trade', 'Natural', '900 - 1300 ft', 'South America', 'Brazil']",12 oz,$15.00
Kuma,Bright,"Berry, Floral, Citrus","['Heirloom', 'Direct Trade', 'Washed', '1800 - 2100 ft', 'Africa', 'Ethiopia']",12 oz,$17.50
Counter Culture Coffee,Slow Motion - Decaf,"Milk Chocolate, Molasses, Cocoa","['Direct Trade, Certified Organic, B Corp', 'Washed']",12 oz,$19.00
Counter Culture Coffee,Big Trouble,"Caramel, Chocolate, Nutty","['Direct Trade, B Corp', 'Washed']",12 oz,$18.00
Square One,Thaddeus,"Plum, Cacao, Brown Sugar","['1200 - 1600 ft', 'South America', 'Brazil']",12 oz,$15.95
Camellia,Ethiopia Abiyot Ageze,"Citrus, Milk Chocolate, Strawberry Jam","['Heirloom', 'Natural', '1950 - 2300 ft', 'Africa', 'Ethiopia']",12 oz,$19.00
Necessary,Burundi,"Berry, Molasses","['Bourbon', 'B Corp', 'Washed', '2000 - 2200 ft', 'Africa', 'Burundi']",325 gr,$16.99
Iconik,Iconoclast Blend,"Floral, Blueberry, Fudge","['Direct Trade, Fair Trade', 'Central America', 'Peru']",10 oz,$21.00
Coava,Kilenso (Espresso),"Lavender, Cantaloupe, Fresh Cream","['Heirloom', 'Direct Trade', 'Natural', '1750 - 1900 ft', 'Africa', 'Ethiopia']",10 oz,$19.00
Equator,Rwanda Nyampinga,"Currant, Earl Grey, Plum","['Bourbon', 'Washed', '5600 - 5800 ft', 'Africa', 'Ethiopia']",12 oz,$18.00
Passenger,Heza,"Raspberry, Black Tea, Apricot","['B Corp', 'Washed', 'Africa', 'Burundi']",10 oz,$20.00
